time,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0,0,0,0,0,0,0
0,-0.00263374,-0.008458709999999999,-0.00511406,-0.00517887,0.00351958,0.009241579999999999
0.1,-0.2470526036653813,2.000648026027022,-1.699525084591642,0.1438187663040367,-0.2456668431537396,1.125859613996102
0.2,-0.5901022199505574,1.241119155941789,-0.8052769241329543,1.034986506577752,0.5324141750372523,0.08173937327233016
0.3,-0.8624085206135013,1.09821041161311,-0.868788276110763,2.805149616375473,0.09624209591590904,1.751981591551357
0.4,-1.095313861392821,1.02700270332312,-0.4775672472887322,0.845881070290659,1.085390802257897,0.1793098701571805
0.5,-1.28459472177039,0.9125762254751066,-0.9009986373533252,0.2105357289475478,0.3352540605641492,1.460787112748984
0.6000000000000001,-1.444096769537406,0.5712914400403122,-0.3978023773249788,2.425125119541406,1.424595683627179,2.137236097922278
0.7000000000000001,-1.563569222759501,0.3880248154482331,-0.2875871338616776,3.039817303690484,1.39354307216096,1.51851099595871
0.8,-1.631847176097135,0.145294286545635,-0.6233603553521334,0.4735835776266129,1.631843271306149,1.571258261482736
0.9,-1.677744243934943,0.04415537437222383,-0.6346407586372038,0.5904728096347469,1.677742749450107,1.570590202386999
1,-1.719550074603033,3.125332130845436,-0.6024914751318988,0.6187519412839606,1.719550075888287,1.570795798055332
1.1,-1.744119329809708,3.102297237312399,-0.5792625794606465,0.6185579389373856,1.744119331094961,1.570795796649375
1.2,-1.764834965574236,3.087721717845426,-0.5604310293689423,0.6143019081066541,1.76483496685949,1.570795795454816
1.3,-1.782746298790012,3.078366683181713,-0.5448301721542634,0.6080560853550026,1.782746300075265,1.570795794414223
1.4,-1.798536526691508,3.072437076818176,-0.5316899512982332,0.6008454706681334,1.798536527976761,1.57079579349023
1.5,-1.81267666167151,3.06885912286171,-0.5204690131914163,0.593202486329659,1.812676662956763,1.570795792657048
1.6,-1.825503694407933,3.066954370863357,-0.510775253136444,0.5854134780907714,1.825503695693187,1.570795791896193
1.7,-1.837265404851751,3.066275317284351,-0.5023185609391021,0.5776358392955103,1.837265406137004,1.570795791194041
1.8,-1.848147945620853,3.066516027452224,-0.4948803228129464,0.5699568908293031,1.848147946906106,1.570795790540337
1.9,-1.858293664988597,3.067460740850095,-0.4882929995412724,0.5624248539918995,1.85829366627385,1.570795789927225
2,-1.867813053585825,3.06895299145674,-0.4824261301187107,0.5550657337986422,1.867813054871078,1.5707957893486
2.1,-1.876792992352378,3.070876382327981,-0.4771765616641233,0.5478927743121176,1.876792993637631,1.570795788799658
2.2,-1.885302589025509,3.073142258660368,-0.4724615208145906,0.5409118569726274,1.885302590310762,1.57079578827658
2.3,-1.893397395701527,3.07568160646079,-0.4682136312216016,0.534124619424432,1.893397396986781,1.570795787776298
2.4,-1.901122511756706,3.078439615274277,-0.464377286220099,0.5275302654573011,1.901122513041959,1.570795787296327
2.5,-1.908514902093825,3.081371961904978,-0.4609059794850623,0.5211266119418667,1.908514903379078,1.570795786834637
2.6,-1.915605151968935,3.084442228969039,-0.4577603220942592,0.514910687339551,1.915605153254188,1.570795786389554
2.7,-1.922418810055712,3.087620084726836,-0.454906557257118,0.5088790665993201,1.922418811340965,1.570795785959688
2.8,-1.928977425812714,3.090879980925649,-0.452315439522522,0.5030280525226942,1.928977427097967,1.570795785543873
2.9,-1.935299356728707,3.094200207274298,-0.449961383149116,0.4973537696594121,1.93529935801396,1.570795785141121
3,-1.941400400238612,3.097562193833113,-0.4478218105645055,0.4918522103767486,1.941400401523865,1.57079578475059
3.1,-1.947294290680654,3.10094998716437,-0.4458766503126412,0.4865192566563792,1.947294291965908,1.570795784371551
3.2,-1.952993091483498,3.104349849180096,-0.4441079470959153,0.4813506912885543,1.952993092768752,1.570795784003369
3.3,-1.958507505463063,3.107749943287445,-0.4424995560911498,0.4763422060429718,1.958507506748317,1.570795783645485
3.4,-1.963847120776118,3.111140083186399,-0.4410369007479176,0.4714894106691361,1.963847122061372,1.570795783297401
3.5,-1.96902060612574,3.114511527126979,-0.4397067784899491,0.4667878443408426,1.969020607410994,1.570795782958667
3.6,-1.974035865841314,3.11785680562781,-0.4384972026403489,0.4622329898625139,1.974035867126567,1.570795782628877
3.7,-1.978900163189113,3.121169574288558,-0.4373972718217374,0.4578202902571036,1.978900164474366,1.570795782307657
3.8,-1.983620218519829,3.124444485866064,-0.436397060294496,0.4535451670281532,1.983620219805082,1.570795781994662
3.9,-1.988202287494239,3.127677077550004,-0.4354875243645324,0.4494030392918376,1.988202288779492,1.570795781689571
4,-1.992652223553793,3.130863670596824,-0.4346604212481679,0.4453893430080598,1.992652224839046,1.570795781392083
4.100000000000001,-1.996975527951417,3.134001280319126,-0.4339082377256887,0.4414995496444476,1.99697552923667,1.570795781101915
4.2,-2.001177389979561,3.137087534996141,-0.4332241266170627,0.4377291837417374,2.001177391264815,1.570795780818799
4.3,-2.005262719490569,3.140120602651734,-0.4326018496357733,0.4340738389895762,2.005262720775822,1.570795780542479
4.4,-2.009236173370496,0.001506471307379798,-0.4320357255581371,0.4305291925529957,2.009236174655749,1.570795780272715
4.5,-2.013102177279956,0.00442950360908867,-0.4315205829239517,0.427091017505262,2.013102178565209,1.570795780009274
4.600000000000001,-2.016864943697416,0.00729646144671392,-0.4310517166840668,0.4237551933175894,2.016864944982669,1.570795779751934
4.7,-2.020528487078059,0.01010707189311688,-0.4306248483525223,0.4205177144311563,2.020528488363312,1.570795779500484
